	learn:mm.csv check mm.csv:74:你上班5天了，我还在北海道看雪雪雪雪雪     	 Result: 	0.19288847236224038 	461 	219



  	class: 劝告  	d: 19  	pt: 0.28571428571428575  	diff:  劝AB0.1428571428571429 劝说A0.07142857142857142 告诫A0.07142857142857142
  	class: 越过  	d: 4  	pt: 0.26666666666666666  	diff:  穿AB0.1333333333333333 穿越A0.10666666666666667 穿过A0.02666666666666667
  	class: 冷却  	d: 5  	pt: 0.25  	diff:  冷AB0.125 凉A0.125
  	class: 喝酒  	d: 2  	pt: 0.25  	diff:  喝酒AB0.125 饮酒A0.125
  	class: 酒店  	d: 9  	pt: 0.19999999999999998  	diff:  酒店AB0.09999999999999998 酒吧A0.1
  	class: 感到  	d: 7  	pt: 0.19512195121951217  	diff:  感觉AB0.09756097560975607 感到A0.07317073170731707 深感A0.024390243902439025
  	class: 面子  	d: 5  	pt: 0.17777777777777778  	diff:  脸AB0.0888888888888889 颜A0.06666666666666667 面子A0.022222222222222223
  	class: 寻找  	d: 23  	pt: 0.17307692307692313  	diff:  找AB0.08653846153846156 摸A0.038461538461538464 搜索A0.019230769230769232 寻找A0.028846153846153848
  	class: 觉察  	d: 6  	pt: 0.1720430107526882  	diff:  发现AB0.08602150537634412 意识A0.06451612903225806 察觉A0.021505376344086023
  	class: 悟出  	d: 5  	pt: 0.16666666666666669  	diff:  想到AB0.08333333333333337 想开A0.08333333333333333
  	class: 情人  	d: 10  	pt: 0.13846153846153844  	diff:  朋友AB0.0692307692307692 恋人A0.015384615384615385 情侣A0.046153846153846156 爱人A0.007692307692307693
  	class: 情况  	d: 8  	pt: 0.125  	diff:  情况AB0.0625 图景A0.0625
  	class: 全面  	d: 29  	pt: 0.10810810810810811  	diff:  完美AB0.05405405405405406 圆A0.02702702702702703 完善A0.02702702702702703
  	class: 花费  	d: 5  	pt: 0.10714285714285716  	diff:  花AB0.0535714285714286 费A0.017857142857142856 花费A0.03571428571428571
  	class: 喜欢  	d: 10  	pt: 0.09580838323353298  	diff:  喜欢AB0.04790419161676651 喜A0.017964071856287425 喜好A0.011976047904191617 爱好A0.011976047904191617 欢喜A0.005988023952095809
  	class: 逼近  	d: 8  	pt: 0.08163265306122452  	diff:  逼AB0.04081632653061229 薄A0.04081632653061224
  	class: 增长  	d: 6  	pt: 0.08000000000000004  	diff:  添加A0.04 长AB0.040000000000000036
  	class: 记得  	d: 3  	pt: 0.07407407407407413  	diff:  记得AB0.03703703703703709 记忆A0.037037037037037035
  	class: 买  	d: 19  	pt: 0.06106870229007638  	diff:  买AB0.03053435114503822 购买A0.015267175572519083 购A0.007633587786259542 采购A0.007633587786259542
  	class: 描写  	d: 12  	pt: 0.054054054054054  	diff:  写AB0.027027027027026973 形容A0.02702702702702703
  	class: 难堪  	d: 3  	pt: 0.04000000000000002  	diff:  好看AB0.020000000000000018 难堪A0.02
  	class: 话  	d: 6  	pt: 0.03333333333333338  	diff:  话AB0.01666666666666672 话语A0.016666666666666666
  	class: 移动  	d: 12  	pt: 0.03333333333333338  	diff:  走AB0.01666666666666672 挪动A0.016666666666666666
  	class: 问  	d: 10  	pt: 0.031007751937984523  	diff:  问AB0.015503875968992276 提问A0.015503875968992248
  	class: 商店  	d: 24  	pt: 0.024999999999999956  	diff:  公司AB0.012499999999999956 企业A0.0125
  	class: 怀念  	d: 21  	pt: 0.010101010101010135  	diff:  想AB0.005050505050505083 纪念A0.0025252525252525255 想念A0.0025252525252525255
