learn:dsjwz.csv check jqzx.csv:20:深度 | 吴恩达对话Yann LeCun：从相识Hinton到深度学习崛起 	 Result: 	0.18332576445971724 	888 	284
  	class: 讲话  	d: 18  	pt: 1.0517241379310343  	diff:  说话A0.07758620689655173 讲AB0.5258620689655172 开口A0.008620689655172414 云A0.31896551724137934 讲话A0.034482758620689655 谈A0.034482758620689655 讲讲A0.034482758620689655 出言A0.008620689655172414 发话A0.008620689655172414
  	class: 辩论  	d: 23  	pt: 1.0510638297872341  	diff:  理论AB0.4723404255319149 反驳A0.05319148936170213 辩论AB0.32553191489361705 辩护B0.2
  	class: 话  	d: 6  	pt: 1.044776119402985  	diff:  话语A0.029850746268656716 语句A0.4925373134328358 话AB0.5223880597014925
  	class: 儿童  	d: 31  	pt: 1.0434782608695652  	diff:  小朋友A0.34782608695652173 小孩子A0.08695652173913043 小孩AB0.28260869565217395 儿童AB0.2391304347826087 娃娃A0.08695652173913043
  	class: 花费  	d: 5  	pt: 1.0344827586206897  	diff:  花费A0.4827586206896552 花AB0.5172413793103448 费A0.034482758620689655
  	class: 性质  	d: 7  	pt: 1.033112582781457  	diff:  属性A0.33112582781456956 性能AB0.5165562913907285 性质A0.18543046357615894
  	class: 计算机  	d: 8  	pt: 1.027296463327795  	diff:  计算机AB0.46665084262995493 电脑AB0.5136482316638975 处理器A0.04699738903394256
  	class: 保存  	d: 3  	pt: 1.018181818181818  	diff:  保存A0.509090909090909 保留AB0.509090909090909
  	class: 固执  	d: 22  	pt: 1.0  	diff:  执着AB0.5 固执A0.5
  	class: 发呆  	d: 23  	pt: 1.0  	diff:  呆AB0.5 傻眼A0.5
  	class: 寻找  	d: 23  	pt: 0.9999999999999999  	diff:  寻找A0.19642857142857142 找A0.17261904761904762 搜索AB0.5 探寻A0.005952380952380952 搜寻A0.01488095238095238 查找A0.10119047619047619 找寻A0.002976190476190476 摸索A0.002976190476190476 追寻A0.002976190476190476
  	class: 近似  	d: 17  	pt: 0.9999999999999999  	diff:  类似AB0.5 接近A0.16494845360824742 类A0.02577319587628866 好像A0.07731958762886598 相近A0.041237113402061855 象是A0.005154639175257732 近似A0.12886597938144329 看似A0.05670103092783505
  	class: 效用  	d: 12  	pt: 0.9694581280788177  	diff:  功能AB0.3369458128078818 效果AB0.4847290640394089 效应A0.09852216748768473 成效A0.029556650246305417 职能A0.009852216748768473 效益A0.0049261083743842365 效用A0.0049261083743842365
  	class: 包括  	d: 9  	pt: 0.9630996309963099  	diff:  包括AB0.45940959409594095 席卷AB0.481549815498155 概括A0.01845018450184502 囊括A0.0036900369003690036
  	class: 文件  	d: 6  	pt: 0.9497206703910615  	diff:  文件AB0.4748603351955307 文本A0.4134078212290503 文书A0.061452513966480445
  	class: 部署  	d: 4  	pt: 0.9473684210526315  	diff:  配备A0.06140350877192982 部署AB0.4736842105263158 配置A0.2807017543859649 安排A0.13157894736842105
  	class: 涉及  	d: 14  	pt: 0.9348659003831417  	diff:  提到AB0.425287356321839 关系A0.4329501915708812 涉及AB0.04214559386973177 关乎A0.01532567049808429 干A0.01532567049808429 事关A0.0038314176245210726
  	class: 积累  	d: 5  	pt: 0.9333333333333333  	diff:  积累AB0.4666666666666667 累积A0.3333333333333333 积攒A0.13333333333333333
  	class: 定义  	d: 3  	pt: 0.9230769230769231  	diff:  概念AB0.46153846153846156 定义A0.46153846153846156
  	class: 实质  	d: 10  	pt: 0.9130434782608696  	diff:  本质AB0.4565217391304348 实质AB0.4565217391304348
  	class: 陪伴  	d: 7  	pt: 0.9090909090909092  	diff:  伴随AB0.4545454545454546 伴A0.09090909090909091 陪伴A0.18181818181818182 陪A0.18181818181818182
  	class: 脸  	d: 7  	pt: 0.896551724137931  	diff:  人脸AB0.4482758620689655 脸部A0.4482758620689655
  	class: 见解  	d: 8  	pt: 0.890625  	diff:  视角A0.1015625 看法A0.1484375 观点AB0.21354166666666663 意见A0.09375 理念A0.0703125 见解AB0.23177083333333331 眼光A0.03125
  	class: 青年人  	d: 8  	pt: 0.8888888888888888  	diff:  小伙子A0.2222222222222222 青年人A0.2222222222222222 年轻人AB0.4444444444444444
  	class: 时机  	d: 6  	pt: 0.8749999999999999  	diff:  机会AB0.32291666666666663 机遇A0.07291666666666667 机AB0.4375 时机A0.041666666666666664
  	class: 放  	d: 11  	pt: 0.8363636363636365  	diff:  嵌入AB0.4181818181818182 置于A0.05454545454545454 放到A0.2 内置A0.14545454545454545 安放A0.01818181818181818
  	class: 显示  	d: 12  	pt: 0.8272251308900523  	diff:  显示A0.32460732984293195 展示AB0.4136125654450262 亮A0.010471204188481676 显得A0.05759162303664921 形A0.010471204188481676 著A0.005235602094240838 来得A0.005235602094240838
  	class: 顶用  	d: 19  	pt: 0.8073394495412844  	diff:  有用AB0.4036697247706422 有效性A0.07339449541284404 可行A0.1743119266055046 实用A0.14678899082568808 中用A0.009174311926605505
  	class: 聘请  	d: 7  	pt: 0.8  	diff:  聘用AB0.4 聘请A0.36 聘任A0.04
  	class: 记得  	d: 3  	pt: 0.7894736842105263  	diff:  记得A0.39473684210526316 记忆AB0.39473684210526316
  	class: 信心  	d: 4  	pt: 0.7878787878787878  	diff:  信心AB0.393939393939394 信念AB0.3939393939393939
  	class: 释放  	d: 13  	pt: 0.7777777777777778  	diff:  放出AB0.38888888888888884 释放A0.2777777777777778 假释A0.05555555555555555 获释A0.05555555555555555
  	class: 共同  	d: 31  	pt: 0.7640449438202248  	diff:  联合AB0.3820224719101124 协办A0.02247191011235955 合伙A0.02247191011235955 协同A0.2696629213483146 合A0.02247191011235955 联手A0.02247191011235955 旅A0.011235955056179775 联机A0.011235955056179775
  	class: 吸引  	d: 8  	pt: 0.7575757575757576  	diff:  引发A0.2727272727272727 掀起A0.045454545454545456 吸引AB0.3787878787878788 诱惑A0.015151515151515152 抓住A0.045454545454545456
  	class: 音信  	d: 7  	pt: 0.7540106951871657  	diff:  信息AB0.37700534759358284 消息AB0.3770053475935829
  	class: 组建  	d: 2  	pt: 0.75  	diff:  组建AB0.375 组装A0.375
  	class: 来  	d: 7  	pt: 0.75  	diff:  赶到A0.25 来到AB0.375 来临A0.125
  	class: 趋势  	d: 13  	pt: 0.7499999999999999  	diff:  方向AB0.375 趋势A0.3235294117647059 大势A0.007352941176470588 动向A0.007352941176470588 可行性A0.022058823529411766 大方向A0.007352941176470588 主旋律A0.007352941176470588
  	class: 围绕  	d: 11  	pt: 0.7272727272727273  	diff:  围绕AB0.36363636363636365 圈A0.13636363636363635 环A0.22727272727272727
  	class: 相距  	d: 7  	pt: 0.6966292134831459  	diff:  距离AB0.348314606741573 离开A0.24719101123595505 偏离A0.0449438202247191 相距A0.02247191011235955 相差A0.033707865168539325
  	class: 呈现  	d: 7  	pt: 0.6950354609929077  	diff:  表现AB0.34751773049645385 呈现A0.14893617021276595 展现A0.15602836879432624 变现A0.0425531914893617
  	class: 中心  	d: 11  	pt: 0.6853146853146853  	diff:  核心A0.32867132867132864 中心AB0.3426573426573427 主干A0.013986013986013986
  	class: 跟随者  	d: 5  	pt: 0.6666666666666667  	diff:  维护者A0.1111111111111111 追随者A0.2222222222222222 支持者AB0.33333333333333337
  	class: 分店  	d: 7  	pt: 0.6666666666666667  	diff:  子公司AB0.33333333333333337 分店A0.3333333333333333
  	class: 订购  	d: 7  	pt: 0.6666666666666667  	diff:  预订A0.3333333333333333 订购AB0.33333333333333337
  	class: 有  	d: 28  	pt: 0.6387434554973821  	diff:  拥有AB0.06457242582897027 富有A0.031413612565445025 具A0.06806282722513089 具备A0.193717277486911 持有AB0.2547993019197208 负有A0.010471204188481676 存有A0.005235602094240838 享有A0.010471204188481676
  	class: 觉察  	d: 6  	pt: 0.6290322580645161  	diff:  发现AB0.30241935483870963 意识AB0.31451612903225806 察觉A0.008064516129032258 觉察A0.004032258064516129
  	class: 种类  	d: 12  	pt: 0.5831775700934579  	diff:  项目AB0.291588785046729 类别A0.1233644859813084 类型A0.1383177570093458 种类A0.026168224299065422 品类A0.001869158878504673 花色A0.001869158878504673
  	class: 支付  	d: 6  	pt: 0.5819209039548022  	diff:  支付A0.2598870056497175 开发AB0.29096045197740117 支出A0.01694915254237288 开支A0.00847457627118644 开销A0.005649717514124294
  	class: 举动  	d: 7  	pt: 0.5714285714285714  	diff:  举措AB0.2857142857142857 举动A0.2857142857142857
  	class: 标准  	d: 12  	pt: 0.5693430656934306  	diff:  原则A0.1386861313868613 条件AB0.2846715328467153 基准A0.08759124087591241 尺度A0.021897810218978103 参考系A0.014598540145985401 规格A0.021897810218978103
  	class: 职业  	d: 6  	pt: 0.5454545454545454  	diff:  生意A0.12121212121212122 职业AB0.2727272727272727 专职A0.06060606060606061 饭碗A0.09090909090909091
  	class: 专家  	d: 5  	pt: 0.5368421052631579  	diff:  专家AB0.21578947368421053 学者AB0.26842105263157895 学家A0.05263157894736842
  	class: 创立  	d: 11  	pt: 0.5299145299145299  	diff:  创建AB0.20940170940170938 创造AB0.008547008547008572 创办A0.021367521367521368 创A0.004273504273504274 创立AB0.2649572649572649 开创A0.017094017094017096 缔造A0.004273504273504274
  	class: 快  	d: 27  	pt: 0.5135135135135136  	diff:  飞跃A0.02702702702702703 敏捷A0.14864864864864866 高效AB0.2567567567567568 飞速A0.04054054054054054 快捷A0.013513513513513514 长足A0.02702702702702703
  	class: 体会  	d: 6  	pt: 0.5128205128205128  	diff:  认知AB0.2564102564102564 体会A0.2564102564102564
  	class: 见证人  	d: 6  	pt: 0.5  	diff:  见证AB0.25 证人A0.25
  	class: 建立  	d: 7  	pt: 0.4938271604938272  	diff:  建立AB0.24691358024691357 确立A0.0205761316872428 成立A0.21810699588477367 树立A0.00823045267489712
  	class: 担负  	d: 14  	pt: 0.49206349206349204  	diff:  负责AB0.19841269841269837 负担A0.047619047619047616 承担AB0.24603174603174605
  	class: 使用  	d: 14  	pt: 0.4919354838709677  	diff:  利用AB0.03629032258064513 用到A0.12096774193548387 采用AB0.08467741935483869 运A0.004032258064516129 动用AB0.24596774193548387
  	class: 商店  	d: 24  	pt: 0.4919254658385093  	diff:  公司AB0.24596273291925463 商家A0.016149068322981366 商店A0.017391304347826087 企业A0.19875776397515527 店铺A0.006211180124223602 局A0.006211180124223602 柜A0.0012422360248447205
  	class: 挥笔  	d: 11  	pt: 0.4888888888888889  	diff:  书AB0.24444444444444446 题A0.13333333333333333 书写A0.1111111111111111
