learn:dsjwz.csv check jqzx.csv:113:业界 | 进化算法 + AutoML，谷歌提出新型神经网络架构搜索方法 	 Result: 	0.1627897134805748 	509 	150
  	class: 导致  	d: 9  	pt: 0.441860465116279  	diff:  致使A0.011627906976744186 引致A0.011627906976744186 导致AB0.22093023255813948 招A0.12790697674418605 促成A0.05813953488372093 招致A0.011627906976744186
  	class: 探究  	d: 8  	pt: 0.4390243902439024  	diff:  深究A0.016260162601626018 探索AB0.2195121951219512 探讨A0.2032520325203252
  	class: 挑选  	d: 26  	pt: 0.4068965517241379  	diff:  选项A0.05517241379310345 选择AB0.20344827586206893 选A0.02413793103448276 抉择A0.027586206896551724 挑选A0.03103448275862069 选取A0.034482758620689655 增选A0.0034482758620689655 甄选A0.006896551724137931 取舍A0.020689655172413793
  	class: 坚强  	d: 30  	pt: 0.39999999999999997  	diff:  硬AB0.19999999999999996 钢铁A0.2
  	class: 改变  	d: 11  	pt: 0.39285714285714285  	diff:  改变AB0.1964285714285714 转A0.05357142857142857 改成A0.03571428571428571 更改A0.08928571428571429 变更A0.011904761904761904 改A0.005952380952380952
  	class: 人造  	d: 4  	pt: 0.3846153846153846  	diff:  人工AB0.1923076923076923 人造A0.038461538461538464 人为A0.15384615384615385
  	class: 强大  	d: 27  	pt: 0.380952380952381  	diff:  强有力A0.05952380952380952 无敌A0.07142857142857142 强大AB0.19047619047619047 精A0.023809523809523808 强硬A0.023809523809523808 强劲A0.011904761904761904
  	class: 胜于  	d: 13  	pt: 0.34374999999999994  	diff:  高AB0.171875 强A0.15625 胜A0.005208333333333333 赛A0.005208333333333333 胜过A0.005208333333333333
  	class: 躲藏  	d: 27  	pt: 0.32653061224489793  	diff:  隐藏AB0.16326530612244894 伏A0.02040816326530612 潜伏A0.061224489795918366 躲A0.02040816326530612 隐蔽A0.02040816326530612 隐形A0.04081632653061224
  	class: 结构  	d: 2  	pt: 0.3015873015873016  	diff:  结构AB0.1507936507936508 构造A0.15079365079365079
  	class: 足够  	d: 6  	pt: 0.28571428571428575  	diff:  足够AB0.1428571428571429 够A0.07692307692307693 足A0.01098901098901099 够用A0.054945054945054944
  	class: 支配  	d: 9  	pt: 0.28571428571428575  	diff:  控制AB0.1428571428571429 主宰A0.05952380952380952 操纵A0.08333333333333333
  	class: 相配  	d: 9  	pt: 0.28571428571428575  	diff:  匹配AB0.1428571428571429 兼容A0.125 配合A0.017857142857142856
  	class: 特征  	d: 6  	pt: 0.2746478873239437  	diff:  特征AB0.13732394366197187 特性A0.11619718309859155 特色A0.01056338028169014 表征A0.01056338028169014
  	class: 知识  	d: 4  	pt: 0.256  	diff:  知识AB0.128 文化A0.128
  	class: 从事  	d: 10  	pt: 0.25  	diff:  事AB0.125 从业A0.07142857142857142 业A0.017857142857142856 致力A0.03571428571428571
  	class: 群落  	d: 3  	pt: 0.24242424242424243  	diff:  群体AB0.12121212121212122 群落A0.12121212121212122
  	class: 简单  	d: 21  	pt: 0.23809523809523814  	diff:  简单AB0.11904761904761907 简短A0.031746031746031744 简要A0.04365079365079365 粗略A0.01984126984126984 省略A0.011904761904761904 简略A0.007936507936507936 简易A0.003968253968253968
  	class: 技术  	d: 8  	pt: 0.23750000000000004  	diff:  技能A0.0825 技术AB0.11875000000000002 技巧A0.03125 艺A0.005
  	class: 加剧  	d: 10  	pt: 0.21875  	diff:  强化AB0.109375 加剧A0.015625 加深A0.0625 火上浇油A0.015625 激化A0.015625
  	class: 方法  	d: 11  	pt: 0.21303116147308782  	diff:  办法A0.03824362606232295 方法AB0.10651558073654388 方式AB0.011614730878186985 艺术A0.021246458923512748 措施A0.03541076487252125
  	class: 等级  	d: 10  	pt: 0.19672131147540983  	diff:  阶段AB0.09836065573770492 阶A0.09836065573770492
  	class: 恰当  	d: 31  	pt: 0.19047619047619047  	diff:  贴切A0.023809523809523808 合适AB0.09523809523809523 得当A0.047619047619047616 适宜A0.023809523809523808
  	class: 发生  	d: 8  	pt: 0.1807228915662651  	diff:  发生AB0.09036144578313254 时有发生A0.006024096385542169 发出A0.08433734939759036
  	class: 优越  	d: 12  	pt: 0.1538461538461538  	diff:  优于AB0.07692307692307687 优越A0.07692307692307693
  	class: 数量  	d: 7  	pt: 0.1414233576642336  	diff:  数据AB0.07071167883211682 数量A0.06523722627737226 数目A0.0036496350364963502 数码A0.0013686131386861315 数额A0.0004562043795620438
  	class: 系统  	d: 2  	pt: 0.13888888888888887  	diff:  系统AB0.06944444444444442 体系A0.06944444444444445
  	class: 轮换  	d: 4  	pt: 0.1333333333333333  	diff:  替换AB0.06666666666666665 调换A0.06666666666666667
  	class: 词  	d: 9  	pt: 0.1090909090909091  	diff:  词AB0.054545454545454564 字眼A0.02727272727272727 歌词A0.02727272727272727
